trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.13268312487385267, 'e': 0.26536624974770534}",30,0,-36.3531096169939,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
133,False,"{'a': 0.13135629362511414, 'e': 0.2627125872502283}",25,13,7.230569192118737,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.13004273068886302, 'e': 0.26008546137772603}",30,19,13.737382594522098,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.12874230338197437, 'e': 0.25748460676394874}",35,20,1.0780711148945308,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.12745488034815464, 'e': 0.2549097606963093}",25,0,17.722632033250147,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.1261803315446731, 'e': 0.2523606630893462}",20,12,-13.61129984600777,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.12491852822922635, 'e': 0.2498370564584527}",20,0,9.702043663319003,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.12366934294693409, 'e': 0.24733868589386818}",30,10,12.236196245271353,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.12243264951746474, 'e': 0.24486529903492948}",35,6,32.86734864021978,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1212083230222901, 'e': 0.2424166460445802}",20,14,10.043297563586952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1199962397920672, 'e': 0.2399924795841344}",30,24,11.403960074970863,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.11879627739414651, 'e': 0.23759255478829303}",25,14,-23.963900519938672,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.11760831462020506, 'e': 0.23521662924041012}",30,7,34.23343994464648,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.116432231474003, 'e': 0.232864462948006}",25,8,-14.090292602501608,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
