trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
203,True,"{'a': 0.5, 'e': 9.299866079483586}",20,0,-22.37391332740666,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
204,True,"{'a': 0.5, 'e': 9.393331287442784}",20,0,-172.33544421309975,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
205,True,"{'a': 0.5, 'e': 9.487735836358526}",25,0,-46.220207676363025,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
206,True,"{'a': 0.5, 'e': 9.583089166764376}",20,0,-76.60619913165675,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
207,True,"{'a': 0.5, 'e': 9.67940081407284}",20,0,-68.21853538985108,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
208,True,"{'a': 0.5, 'e': 9.776680409528904}",25,0,-103.06495531358745,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
209,True,"{'a': 0.5, 'e': 9.874937681173183}",25,0,-236.8543650309786,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
210,True,"{'a': 0.5, 'e': 9.974182454814718}",20,0,-112.08170217801859,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
211,True,"{'a': 0.5, 'e': 10.074424655013587}",20,0,-72.4845366002261,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
212,True,"{'a': 0.5, 'e': 10.175674306073333}",20,0,-92.37740221623443,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
213,True,"{'a': 0.5, 'e': 10.277941533043448}",20,0,-81.83611747485028,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
214,True,"{'a': 0.5, 'e': 10.381236562731843}",25,0,-159.06083852164463,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
215,True,"{'a': 0.5, 'e': 10.485569724727576}",30,0,-273.50229831175517,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 5}",0
216,True,"{'a': 0.5, 'e': 10.59095145243378}",20,6,-89.3645153200774,"{0: 5, 1: 0, 2: 8, 3: 1, 4: 0}",1
