trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",30,16,-41.0706037139826,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,5,-54.18471361100118,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,12,11.557051307737913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,0.5992453341440828,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",30,0,-25.83792481804919,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,13,-30.415954591886347,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,0,-48.70137972031119,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,0,-27.543958003725628,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,3,-47.27915947171214,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,0,16.920453243603905,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",25,3,1.7540542706908622,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,20,8.182806979600297,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",30,0,4.334693115327289,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",30,12,5.313835010434204,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",25,0,-12.065070039323626,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,10,-87.1440345454492,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,0,-61.315263192209166,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,4,-41.09651720749635,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,5.470258159290484,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
